Title,Author
Fahrenheit 451,"Bradbury, Ray"
Animal Farm,"Orwell, George"
Człowiek w poszukiwaniu sensu. Głos nadziei z otchłani Holokaustu,"Frankl, Viktor E."
27 śmierci Toby'ego Obeda,"Gierak-Onoszko, Joanna"
Nowy wspaniały świat,"Huxley, Aldous"
Ender’s Game,"Card, Orson Scott"
Jedyny samolot na niebie. Historia mówiona zamachów z 11 września,"Graff, Garrett M."
Kwiat wiśni i czerwona fasola,"Sukegawa, Durian"
Do gwiazd,"Sanderson, Brandon"
Bezmatek,"Marcinów, Mira"
Normalni ludzie,"Rooney, Sally"
Legenda,"Lu, Marie"
Miedziaki,"Whitehead, Colson"
"Niegrzeczne. Historie dzieci z ADHD, autyzmem i zespołem Aspergera","Hołub, Jacek"
Rdza,"Małecki, Jakub"
Tu jest teraz twój dom. Adopcja w Polsce,"Wroniszewska, Marta"
Święto ognia,"Małecki, Jakub"
"Strasznie głośno, niesamowicie blisko","Foer, Jonathan Safran"
Włoski nauczyciel,"Rachman, Tom"
Mroczna materia,"Crouch, Blake"
Małe życie,"Yanagihara, Hanya"
Ukochane równanie profesora,"Ogawa, Yōko"
Kwiaty dla Algernona,"Keyes, Daniel"
Słowik,"Hannah, Kristin"
Taśmy rodzinne,"Marcisz, Maciej"
"Nie to miejsce, nie ten czas","McAllister, Gillian"
Odzyskanie czasu,Baoshu
Czerwony Mars,"Robinson, Kim Stanley"
Lekcje,"McEwan, Ian"
Maria Curie,"Curie, Ève"
Czasy secondhand. Koniec czerwonego człowieka,"Alexievich, Svetlana"
Beze mnie jesteś nikim. Przemoc w polskich domach,"Hołub, Jacek"
Wszystko mam bardziej. Życie w spektrum autyzmu,"Hołub, Jacek"
Ostre przedmioty,"Flynn, Gillian"
"Grobowa cisza, żałobny zgiełk","Ogawa, Yōko"
Bliscy,"Ernaux, Annie"
Błękitna kropka. Człowiek i jego przyszłość w kosmosie,"Sagan, Carl"
The Prison Healer,"Noni, Lynette"
Mierząc ku gwiazdom. Apollo 11 i kosmiczny wyścig,"Donovan, James"
"Księżycowy pył. W poszukiwaniu ludzi, którzy spadli na ziemię","Smith, Andrew"
Asfaltowa pustynia,"Cosby, S.A."
Długa droga do domu. Wspomnienia uciekiniera z północnokoreańskiego piekła,"Kim, Yong"
Dziennik pustki,"Yagi, Emi"
Rodzeństwo,"Herngren, Moa"
The Divorce,"Herngren, Moa"
Svärmodern,"Herngren, Moa"
Limes inferior,"Zajdel, Janusz A."
Córki chmur. O kobietach z Sahary Zachodniej,"Khalid, Lena"
Dlaczego zebry nie mają wrzodów. Psychofizjologia Stresu,"Sapolsky, Robert M."
"Matka bez wyboru. O kobietach, które opuściły swoje dzieci","Wroniszewska, Marta"
Columbine. Masakra w amerykańskim liceum,"Cullen, Dave"
Pod kluczem,"Ware, Ruth"
Światu nie mamy czego zazdrościć. Zwyczajne losy mieszkańców Korei Północnej,"Demick, Barbara"
